ID	EGAR00001193088	EGAR00001193082	EGAR00001193062	EGAR00001193016	EGAR00001193014	EGAR00001193032	EGAR00001193066	EGAR00001193060	EGAR00001193048	EGAR00001193040	EGAR00001193068	EGAR00001193080	EGAR00001193078	EGAR00001193064	EGAR00001193058	EGAR00001193090	EGAR00001193052	EGAR00001193018	EGAR00001193056	EGAR00001193034	EGAR00001193074	EGAR00001193028	EGAR00001193076	EGAR00001193084	EGAR00001193044	EGAR00001193012	EGAR00001193070	EGAR00001193030	EGAR00001193026	EGAR00001193046	EGAR00001193054	EGAR00001193050	EGAR00001193038	EGAR00001193022	EGAR00001193020	EGAR00001193042	EGAR00001193086	EGAR00001193024	EGAR00001193036	EGAR00001193072
5__137952628__137954376__5:137952628|137954376	0.0612	0.0615	0.1036	0.0929	0.0763	0.045	0	0.0408	0.0931	0.1193	0.0596	0.0824	0.079	0.1548	0.096	0.1094	0.1119	0.0604	0.0956	0.0831	0	0.1546	0.163	0.0615	0.0958	0.0171	0.0877	0.1632	0.0871	0.1115	0.1037	0.1773	0.0943	0.0634	0.0298	0.1257	0.0904	0.1454	0.0638	0
5__137985257__137988315__5:137985257|137988315	2.3449	3.3078	3.2125	3.0409	2.4782	3.1523	1.7435	1.5917	1.881	4.3176	2.7012	3.502	2.814	6.3485	3.4187	2.8995	3.2256	3.2395	2.128	2.8864	2.5671	4.0722	3.0813	3.1214	3.7523	3.6331	2.9811	4.5093	2.8035	2.9476	3.2149	4.2756	3.2915	2.82	2.3854	4.5959	3.1096	3.3307	3.1888	2.7354
5__138006990__138011945__5:138006990|138011945	0.0408	0.0462	0.0829	0.0812	0.0763	0.045	0.0171	0.0204	0.0186	0.0716	0.139	0	0.0316	0.271	0.0192	0.0912	0	0.1006	0.0478	0.1454	0.0342	0.0515	0.0741	0.0615	0.0319	0.0682	0.0438	0.0612	0.0697	0.0159	0.0691	0.0394	0.0393	0.0634	0.0298	0.1257	0.0181	0.0661	0.0638	0.0651
5__138006990__138021197__5:138006990|138021197	0.0408	0.0462	0	0.0348	0.0381	0.0751	0.0342	0.0816	0.0559	0	0	0.0206	0	0.1161	0.0576	0	0.0186	0.0604	0.0478	0.0415	0.0342	0	0.0593	0.0769	0.0958	0.0341	0.0877	0.1224	0	0.0478	0.0864	0	0.0628	0.0317	0	0.018	0.0542	0.0132	0.0638	0.0651
5__138398178__138400012__5:138398178|138400012	0.0816	0.0769	0	0.1045	0.0381	0.0751	0.0171	0	0	0.0954	0	0	0.0474	0.1548	0.1344	0.0547	0.0932	0.0805	0	0.0415	0	0.0258	0.0444	0	0.016	0.1023	0.1096	0.102	0	0.0478	0.0519	0	0.0786	0.0317	0	0.1436	0.0181	0.0925	0.0638	0
5__138568925__138571141__5:138568925|138571141	0.0816	0.0462	0.0415	0.0464	0.0381	0.06	0	0	0.0372	0.1908	0.0794	0.0412	0.0474	0.1548	0.1344	0.0547	0.0373	0.1006	0.0239	0.0623	0.0342	0.1031	0.0741	0.0461	0.0958	0.0341	0.1096	0.0612	0.0522	0.0797	0.0346	0.0788	0.0236	0.0317	0	0.0359	0.0723	0.0397	0.0213	0.0651
5__139363759__139364743__5:139363759|139364743	0.2243	0.2616	0.2487	0.2553	0.1334	0.3152	0.0342	0.1428	0.0931	0.2863	0.139	0.206	0.2371	0.5419	0.3073	0.31	0.1119	0.3622	0.2391	0.1869	0.2396	0.3351	0.1926	0.2614	0.3034	0.1706	0.2192	0.4489	0.1393	0.2549	0.3975	0.2758	0.2592	0.2693	0.1491	0.4129	0.235	0.2115	0.2338	0.2822
5__139600372__139614966__5:139600372|139614966	0.6933	1.0924	0.9534	0.824	0.8388	1.2159	0.5299	0.3469	0.3725	0.9065	0.715	0.5562	0.6324	1.3936	0.8835	0.8753	0.6153	1.0463	0.6934	0.5607	0.5819	0.4897	0.5481	0.5382	0.8303	1.2452	1.1398	0.9182	0.6617	0.5258	1.0371	1.2019	1.2804	0.808	0.4771	1.1131	1.1028	0.5023	0.7228	0.7815
5__139600372__139623461__5:139600372|139623461	0.0408	0.2616	0.2073	0.1509	0.0953	0.1351	0.0684	0.1224	0.1117	0.167	0.0596	0.2472	0.0949	0.0968	0.1729	0.2735	0.0932	0.161	0	0.2284	0.1027	0.0773	0.2666	0.1538	0.2235	0.1194	0.0438	0.3061	0.1393	0.1753	0.2247	0.1773	0.1335	0.1901	0.1193	0.2693	0.0904	0.0925	0.1913	0.0651
5__139614586__139614966__5:139614586|139614966	0.3874	0.1077	0.7669	0.325	0.4575	0.8406	0.359	0.3061	0.1862	0.8349	0.6554	0.4532	0.4585	0.7161	0.5186	0.1094	0.5594	0.4225	0.0717	0.2077	0.1369	0.3351	0.1037	0.4459	0.2076	0.4605	0.0877	0.4897	0.2612	0.3505	0.2074	0.335	0.6442	0.6179	0.5367	0.8617	0.1808	0.4097	0.4464	0.2388
5__139614586__139623461__5:139614586|139623461	0.1427	0.1846	0.0622	0.0929	0	0	0	0.0204	0.0186	0.2147	0.0199	0.0412	0.0949	0.2516	0.0192	0	0	0.0402	0	0	0.0685	0.0258	0	0.1076	0.0319	0.0341	0.1096	0.1632	0.0522	0	0.1037	0.1576	0.1021	0.1267	0	0.0718	0.0542	0	0.085	0.0434
5__139614697__139623461__5:139614697|139623461	0.0408	0	0.0829	0.0116	0	0.03	0	0.0204	0	0.0477	0.0397	0.0206	0.0474	0.1161	0.0384	0	0.0186	0.1207	0	0	0.1369	0.0258	0.0444	0.0461	0.0798	0	0.0438	0.0612	0.0348	0.0637	0	0.0591	0.055	0	0.0895	0.018	0	0.0132	0.0425	0
5__141582312__141583615__5:141582312|141583615	0.1427	0.1077	0.1658	0.2553	0.2097	0.2552	0.2564	0.1837	0.2421	0.167	0.2185	0.3708	0.0949	0.6581	0.4801	0.1824	0.2983	0.2012	0.3347	0.3738	0.2738	0.3093	0.1926	0.3537	0.3832	0.1535	0.3288	0.4897	0.1393	0.0478	0.2938	0.3941	0.2278	0.2376	0.2087	0.5206	0.217	0.2115	0.2338	0.2171
5__143037196__143057747__5:143037196|143057747	0.0816	0.0769	0.0415	0.0348	0.0953	0.0751	0.0342	0.0408	0.0372	0.0477	0.0397	0	0.0316	0.1161	0.0768	0.0729	0.1305	0.0805	0.0478	0.0623	0	0.0515	0.0741	0	0.0798	0.0512	0.0658	0.0816	0.0697	0.1912	0.1383	0	0.0471	0.0158	0.0298	0.1257	0.0723	0.0925	0.0638	0.0217
5__143054439__143057747__5:143054439|143057747	0.2039	0.0615	0.1244	0.2089	0.0572	0.06	0.1026	0.0612	0.0372	0.0239	0.139	0	0.1739	0.3097	0.2113	0.1824	0.1865	0.161	0	0.1661	0.2054	0.1546	0.1185	0.123	0.2395	0.0853	0.1534	0.2653	0.1393	0.2231	0.1556	0.0985	0.165	0.1109	0.2684	0.2693	0.1266	0.185	0.1063	0.0651
5__149509879__149513209__5:149509879|149513209	0.0408	0.0308	0	0.0812	0.0763	0.045	0.0171	0.0612	0	0	0	0.0412	0.0158	0.0581	0	0	0.0186	0.0402	0.0717	0	0.0342	0.0258	0.0444	0.0615	0.0639	0.0341	0.0438	0	0	0.0159	0	0.0394	0.0471	0.0158	0.0298	0	0.0904	0.0529	0	0
5__151042540__151042961__5:151042540|151042961	0.0408	0.0769	0	0	0	0	0	0	0	0.0477	0	0	0	0.0194	0.0768	0.0912	0.0373	0.0402	0.0956	0	0	0	0.0296	0	0	0	0.0219	0.0204	0.0174	0	0	0	0.0236	0	0	0.1436	0	0.0661	0.085	0
5__151198997__151205475__5:151198997|151205475	0.0408	0.0308	0	0.0696	0	0.0751	0.0855	0.0408	0	0.0239	0.0397	0	0.1265	0.1936	0	0.1277	0	0	0.0239	0.0623	0.0342	0.0258	0.0444	0.0308	0	0.0682	0.0877	0	0.0174	0.0637	0.0519	0.0591	0.0628	0.0951	0	0	0.0904	0.0529	0.0638	0.1303
5__151790323__151791062__5:151790323|151791062	0.1427	0.3539	0.1451	0.058	0.1716	0.3603	0.3419	0.0204	0.1676	0.0239	0.2185	0.0206	0.0316	0.7742	0.1536	0.2006	0.317	0.3018	0.2152	0.1869	0.1369	0.2577	0.2666	0.2306	0.2714	0.307	0.285	0.4285	0.2438	0.2071	0.0346	0.2167	0.0236	0.2376	0.1789	0.5206	0.0362	0.0661	0.0213	0.0868
5__154033791__154034967__5:154033791|154034967	0.2651	0.2616	0.4352	0.65	0.3813	0.6455	0.3077	0.2449	0.1862	0.2147	0.2979	0.4738	0.2213	0.1936	0.3457	0.2553	0.5407	0.664	0.3586	0.4568	0.4792	0.2835	0.2666	0.3229	0.3353	0.29	0.3946	0.6733	0.5398	0.4143	0.9334	0.2758	0.3142	0.0951	0.4174	0.6283	0.3797	0.4097	0.7228	0.1737
